"filename", "language", "Go", "JSON", "Markdown", "comment", "blank", "total"
"d:\workdir\DIMSProxy\Readme.md", "Markdown", 0, 0, 99, 0, 21, 120
"d:\workdir\DIMSProxy\algo\algo.go", "Go", 117, 0, 0, 5, 7, 129
"d:\workdir\DIMSProxy\config.json", "JSON", 0, 33, 0, 0, 0, 33
"d:\workdir\DIMSProxy\config\config.go", "Go", 109, 0, 0, 7, 9, 125
"d:\workdir\DIMSProxy\config\other.go", "Go", 46, 0, 0, 0, 6, 52
"d:\workdir\DIMSProxy\configc.json", "JSON", 0, 22, 0, 0, 0, 22
"d:\workdir\DIMSProxy\deploy\config.json", "JSON", 0, 33, 0, 0, 0, 33
"d:\workdir\DIMSProxy\deploy\configc.json", "JSON", 0, 22, 0, 0, 0, 22
"d:\workdir\DIMSProxy\fhandle\algo.go", "Go", 31, 0, 0, 1, 3, 35
"d:\workdir\DIMSProxy\fhandle\auth.go", "Go", 131, 0, 0, 29, 10, 170
"d:\workdir\DIMSProxy\fhandle\calc.go", "Go", 138, 0, 0, 4, 4, 146
"d:\workdir\DIMSProxy\fhandle\confirm.go", "Go", 95, 0, 0, 8, 8, 111
"d:\workdir\DIMSProxy\fhandle\crypto.go", "Go", 86, 0, 0, 1, 7, 94
"d:\workdir\DIMSProxy\fhandle\double.go", "Go", 112, 0, 0, 11, 11, 134
"d:\workdir\DIMSProxy\fhandle\encrypt.go", "Go", 88, 0, 0, 8, 12, 108
"d:\workdir\DIMSProxy\fhandle\grant.go", "Go", 95, 0, 0, 3, 7, 105
"d:\workdir\DIMSProxy\fhandle\login.go", "Go", 48, 0, 0, 1, 4, 53
"d:\workdir\DIMSProxy\fhandle\offcrypto.go", "Go", 79, 0, 0, 3, 8, 90
"d:\workdir\DIMSProxy\fhandle\response.go", "Go", 46, 0, 0, 0, 5, 51
"d:\workdir\DIMSProxy\fhandle\use.go", "Go", 43, 0, 0, 0, 3, 46
"d:\workdir\DIMSProxy\file\clean.go", "Go", 40, 0, 0, 3, 8, 51
"d:\workdir\DIMSProxy\file\file.go", "Go", 72, 0, 0, 0, 9, 81
"d:\workdir\DIMSProxy\file\minio.go", "Go", 19, 0, 0, 0, 5, 24
"d:\workdir\DIMSProxy\handle\busx.go", "Go", 122, 0, 0, 11, 9, 142
"d:\workdir\DIMSProxy\handle\connect.go", "Go", 29, 0, 0, 0, 5, 34
"d:\workdir\DIMSProxy\handle\handle.go", "Go", 6, 0, 0, 0, 3, 9
"d:\workdir\DIMSProxy\handle\limit.go", "Go", 48, 0, 0, 1, 5, 54
"d:\workdir\DIMSProxy\handle\login.go", "Go", 36, 0, 0, 0, 5, 41
"d:\workdir\DIMSProxy\handle\loop.go", "Go", 46, 0, 0, 2, 5, 53
"d:\workdir\DIMSProxy\handle\monitor.go", "Go", 41, 0, 0, 5, 4, 50
"d:\workdir\DIMSProxy\handle\reduce.go", "Go", 36, 0, 0, 0, 5, 41
"d:\workdir\DIMSProxy\handle\response.go", "Go", 71, 0, 0, 0, 4, 75
"d:\workdir\DIMSProxy\handle\verifyUser.go", "Go", 12, 0, 0, 0, 4, 16
"d:\workdir\DIMSProxy\invoke.go", "Go", 67, 0, 0, 31, 8, 106
"d:\workdir\DIMSProxy\lib\config.json", "JSON", 0, 20, 0, 0, 0, 20
"d:\workdir\DIMSProxy\log\log.go", "Go", 24, 0, 0, 3, 5, 32
"d:\workdir\DIMSProxy\main.go", "Go", 87, 0, 0, 6, 7, 100
"d:\workdir\DIMSProxy\manager\algo.go", "Go", 52, 0, 0, 0, 3, 55
"d:\workdir\DIMSProxy\manager\cert.go", "Go", 59, 0, 0, 0, 5, 64
"d:\workdir\DIMSProxy\manager\const.go", "Go", 47, 0, 0, 6, 8, 61
"d:\workdir\DIMSProxy\manager\handle.go", "Go", 42, 0, 0, 0, 3, 45
"d:\workdir\DIMSProxy\manager\manager.go", "Go", 55, 0, 0, 3, 3, 61
"d:\workdir\DIMSProxy\manager\other.go", "Go", 46, 0, 0, 27, 4, 77
"d:\workdir\DIMSProxy\manager\response.go", "Go", 199, 0, 0, 0, 6, 205
"d:\workdir\DIMSProxy\manager\udp.go", "Go", 63, 0, 0, 1, 7, 71
"d:\workdir\DIMSProxy\manager\watch.go", "Go", 40, 0, 0, 2, 5, 47
"d:\workdir\DIMSProxy\model\cert.go", "Go", 61, 0, 0, 0, 5, 66
"d:\workdir\DIMSProxy\model\model.go", "Go", 26, 0, 0, 0, 7, 33
"d:\workdir\DIMSProxy\model\product.go", "Go", 110, 0, 0, 4, 11, 125
"d:\workdir\DIMSProxy\model\productlog.go", "Go", 85, 0, 0, 3, 8, 96
"d:\workdir\DIMSProxy\packet\packet.go", "Go", 67, 0, 0, 25, 9, 101
"d:\workdir\DIMSProxy\pfilter\filter.go", "Go", 16, 0, 0, 1, 4, 21
"d:\workdir\DIMSProxy\protocol\cert.go", "Go", 12, 0, 0, 1, 3, 16
"d:\workdir\DIMSProxy\protocol\constant.go", "Go", 33, 0, 0, 0, 3, 36
"d:\workdir\DIMSProxy\protocol\core.go", "Go", 122, 0, 0, 2, 4, 128
"d:\workdir\DIMSProxy\protocol\front.go", "Go", 74, 0, 0, 0, 3, 77
"d:\workdir\DIMSProxy\protocol\manager.go", "Go", 299, 0, 0, 4, 19, 322
"d:\workdir\DIMSProxy\service\fconnect.go", "Go", 80, 0, 0, 1, 4, 85
"d:\workdir\DIMSProxy\util\config.go", "Go", 66, 0, 0, 0, 6, 72
"d:\workdir\DIMSProxy\util\lib-linux.go", "Go", 8, 0, 0, 4, 5, 17
"d:\workdir\DIMSProxy\util\lib-win.go", "Go", 9, 0, 0, 1, 5, 15
"d:\workdir\DIMSProxy\util\msg.go", "Go", 7, 0, 0, 2, 4, 13
"d:\workdir\DIMSProxy\util\util.go", "Go", 84, 0, 0, 29, 7, 120
"d:\workdir\DIMSProxy\util\utilx.go", "Go", 61, 0, 0, 2, 4, 67
"Total", "-", 3843, 130, 99, 261, 371, 4704